Value,Count,Area_Ha,Area_Km2,Detailed_L,General_LC,General__1,Biome_Unit,Biome_Un_1,Major_LC_U,Major_LC_1,Moisture_Z,New.value0,New.value1,hiecoh_p2_class,maui_habqual,maui_veg_type
42,1053177,94785.89844,947.8590088,Cultivated agriculture,Agriculture,6D Agriculture,Agriculture,4A Agriculture,Agriculture,4 Agriculture,N/A,NA,,0,0,NA
43,212404,19116.40039,191.1640015,Developed open space,Developed,7A Developed,Developed,4B Developed,Developed,5 Developed,N/A,NA,,0,0,NA
44,149602,13464.2002,134.6419983,High intensity developed,Developed,7A Developed,Developed,4B Developed,Developed,5 Developed,N/A,NA,,0,0,NA
45,595174,53565.69922,535.6569824,Low intensity developed,Developed,7A Developed,Developed,4B Developed,Developed,5 Developed,N/A,NA,,0,0,NA
46,195993,17639.40039,176.3939972,Medium intensity developed,Developed,7A Developed,Developed,4B Developed,Developed,5 Developed,N/A,NA,,0,0,NA
23,269663,24269.69922,242.6970062,Plantation forest,Alien Tree Plantation,5A Alien Tree Plantation,N/A Forest,4A Agriculture,Forest,1 Forest,N/A,NA,,0,0,3
21,206984,18628.59961,186.2859955,Alien dry forest,Alien Dry Forest,6A Alien Dry Forest,Dry Forest,3A Dry Forest,Forest,1 Forest,Dry,NA,,3,1,3
22,632262,56903.60156,569.0360107,Kiawe dry forest and shrubland,Alien Dry Forest,6A Alien Dry Forest,Dry Forest,3A Dry Forest,Forest,1 Forest,Dry,NA,,3,1,3
20,976283,87865.5,878.6550293,Alien mesic forest,Alien Mesic Forest,5B Alien Mesic Forest,Mesic Forest,2A Mesic Forest,Forest,1 Forest,Mesic,NA,,4,1,3
19,656707,59103.60156,591.0360107,Alien wet forest,Alien Wet Forest,4B Alien Wet Forest,Wet Forest,1A Wet Forest,Forest,1 Forest,Wet,NA,,4,1,3
18,3191,287.1900024,2.8719001,Mixed native-alien dry forest,Mixed Dry Forest,4A Mixed Dry Forest,Dry Forest,3A Dry Forest,Forest,1 Forest,Dry,NA,,3,2,3
17,55493,4994.370117,49.9436989,Mixed native-alien mesic forest,Mixed Mesic Forest,3C Mixed Mesic Forest,Mesic Forest,2A Mesic Forest,Forest,1 Forest,Mesic,NA,,4,2,3
16,12147,1093.229981,10.9322996,Mixed native-alien wet forest,Mixed Wet Forest,3A Mixed Wet Forest,Wet Forest,1A Wet Forest,Forest,1 Forest,Wet,NA,,4,2,3
11,6363,572.6699829,5.7266998,Closed ohia dry forest,Native Dry Forest,2B Native Dry Forest,Dry Forest,3A Dry Forest,Forest,1 Forest,Dry,NA,,3,3,3
12,165756,14918,149.1799927,Mixed mamane-naio-native trees dry woodland,Native Dry Forest,2B Native Dry Forest,Dry Forest,3A Dry Forest,Forest,1 Forest,Dry,NA,,3,3,3
13,61054,5494.859863,54.9486008,Open ohia dry forest,Native Dry Forest,2B Native Dry Forest,Dry Forest,3A Dry Forest,Forest,1 Forest,Dry,NA,,3,3,3
14,102828,9254.519531,92.5451965,Open koa-mamane dry forest,Native Dry Forest,2B Native Dry Forest,Dry Forest,3A Dry Forest,Forest,1 Forest,Dry,NA,,3,3,3
6,209003,18810.30078,188.1029968,Closed ohia mesic forest,Native Mesic Forest,1C Native Mesic Forest,Mesic Forest,2A Mesic Forest,Forest,1 Forest,Mesic,NA,,4,3,3
7,10269,924.210022,9.2420998,Closed hala forest,Native Mesic Forest,1C Native Mesic Forest,Mesic Forest,2A Mesic Forest,Forest,1 Forest,Mesic,NA,,0,3,3
8,136503,12285.2998,122.8529968,Closed koa-ohia mesic forest,Native Mesic Forest,1C Native Mesic Forest,Mesic Forest,2A Mesic Forest,Forest,1 Forest,Mesic,NA,,4,3,3
9,212520,19126.80078,191.2680054,Open ohia mesic forest,Native Mesic Forest,1C Native Mesic Forest,Mesic Forest,2A Mesic Forest,Forest,1 Forest,Mesic,NA,,4,3,3
10,199078,17917,179.1699982,Open koa-ohia mesic forest,Native Mesic Forest,1C Native Mesic Forest,Mesic Forest,2A Mesic Forest,Forest,1 Forest,Mesic,NA,,4,3,3
15,22530,2027.699951,20.2770004,Native mesic to dry forest and shrubland,Native Mesic Forest,1C Native Mesic Forest,Mesic Forest,2A Mesic Forest,Forest,1 Forest,Mesic and Dry,3,,3,3,3
1,968997,87209.70313,872.0969849,Closed ohia wet forest,Native Wet Forest,1A Native Wet Forest,Wet Forest,1A Wet Forest,Forest,1 Forest,Wet,NA,,4,3,3
2,383549,34519.39844,345.1940002,Closed koa-ohia wet forest,Native Wet Forest,1A Native Wet Forest,Wet Forest,1A Wet Forest,Forest,1 Forest,Wet,NA,,4,3,3
3,196515,17686.30078,176.8630066,Low-stature ohia wet forest,Native Wet Forest,1A Native Wet Forest,Wet Forest,1A Wet Forest,Forest,1 Forest,Wet,0,,4,3,3
4,1010721,90964.89844,909.6489868,Open ohia wet forest,Native Wet Forest,1A Native Wet Forest,Wet Forest,1A Wet Forest,Forest,1 Forest,Wet,1,,4,3,3
5,147620,13285.7998,132.8580017,Open koa-ohia wet forest,Native Wet Forest,1A Native Wet Forest,Wet Forest,1A Wet Forest,Forest,1 Forest,Wet,NA,,4,3,3
39,1709160,153824,1538.23999,Alien dry grassland,Alien Dry Grassland,6B Alien Dry Grassland,Dry Grassland,3C Dry Grassland,Grassland,3 Grassland,Dry,NA,,2,1,1
38,1117802,100602,1006.02002,Alien mesic grassland,Alien Mesic Grassland,5D Alien Mesic Grassland,Mesic Grassland,2C Mesic Grassland,Grassland,3 Grassland,Mesic,NA,,2,1,1
37,268423,24158.09961,241.5809937,Alien wet grassland,Alien Wet Grassland,4D Alien Wet Grassland,Wet Grassland,1C Wet Grassland,Grassland,3 Grassland,Wet,NA,,2,1,1
36,4831,434.7900085,4.3478999,Native Deschampsia grassland,Native Mesic Grassland,2A Native Mesic Grassland,Mesic Grassland,2C Mesic Grassland,Grassland,3 Grassland,Mesic,NA,,2,3,1
47,3505395,315486,3154.860107,Very sparse vegetation to unvegetated,Bare Ground,7B Bare Ground,Not Vegetated,4C Not Vegetated,Not Vegetated,6 Not Vegetated,N/A,8,,1,4,0
48,34103,3069.27002,30.6926994,Water,Water,Water,Wetland,4D Wetland,Other,Other,N/A,NA,,0,0,NA
41,12573,1131.569946,11.3156996,Wetland vegetation,Wetland,2D Wetland,Wetland,4D Wetland,Other,Other,N/A,NA,,0,5,NA
40,5172,465.480011,4.6547999,Native bog community,Wetland,2D Wetland,Wetland,4D Wetland,Other,Other,Wet,NA,,0,5,NA
35,755778,68020,680.2000122,Alien dry shrubland,Alien Dry Shrub,6C Alien Dry Shrub,Dry Shrubland,3B Dry Shrubland,Shrubland,2 Shrubland,Dry,NA,,3,1,2
34,270868,24378.09961,243.7810059,Alien mesic shrubland,Alien Mesic Shrub,5C Alien Mesic Shrub,Mesic Shrubland,2B Mesic Shrubland,Shrubland,2 Shrubland,Mesic,NA,,4,1,2
33,98602,8874.179688,88.7417984,Alien wet shrubland,Alien Wet Shrub,4C Alien Wet Shrub,Wet Shrubland,1B Wet Shrubland,Shrubland,2 Shrubland,Wet,NA,,4,1,2
32,2237,201.3300018,2.0132999,Mixed native-alien mesic shrubs and grass,Mixed Mesic Shrub,3D Mixed Mesic Shrub,Mesic Shrubland,2B Mesic Shrubland,Shrubland,2 Shrubland,Mesic,NA,,4,2,2
31,25721,2314.889893,23.1488991,Mixed native-alien wet shurbs and grass/sedges,Mixed Wet Shrub,3B Mixed Wet Shrub,Wet Shrubland,1B Wet Shrubland,Shrubland,2 Shrubland,Wet,NA,,4,2,2
29,186,16.7399998,0.1674,Coastal strand vegetation,Native Mesic Shrub,1D Native Mesic Shrub,Coastal Strand,2B Mesic Shrubland,Shrubland,2 Shrubland,All Zones,NA,,0,3,2
27,16763,1508.670044,15.0867004,Mixed native-alien dry cliff community,Native Dry Shrub,2C Native Dry Shrub,Dry Shrubland,3B Dry Shrubland,Shrubland,2 Shrubland,Dry,NA,,3,3,2
28,899702,80973.20313,809.7319946,Native dry shrubland,Native Dry Shrub,2C Native Dry Shrub,Dry Shrubland,3B Dry Shrubland,Shrubland,2 Shrubland,Dry,7,,3,3,2
26,664771,59829.39844,598.2940063,Native mesic shrubland,Native Mesic Shrub,1D Native Mesic Shrub,Mesic Shrubland,2B Mesic Shrubland,Shrubland,2 Shrubland,Mesic,6,,4,3,2
24,87301,7857.089844,78.5709,Native wet cliff community,Native Wet Shrub,1B Native Wet Shrub,Wet Shrubland,1B Wet Shrubland,Shrubland,2 Shrubland,Wet,NA,,4,3,2
25,124946,11245.09961,112.4509964,Native wet shrubland,Native Wet Shrub,1B Native Wet Shrub,Wet Shrubland,1B Wet Shrubland,Shrubland,2 Shrubland,Wet,5,,4,3,2
30,106997,9629.730469,96.2973022,Uluhe ferns and native shrubs,Native Wet Shrub,1B Native Wet Shrub,Wet Shrubland,1B Wet Shrubland,Shrubland,2 Shrubland,Wet and Mesic,NA,,4,3,2
